Unnamed: 0,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary,age_cat,capital-gain_cat,capital-loss_cat,hours-per-week_cat,workclass_cat,education_cat,marital-status_cat,occupation_cat,relationship_cat,race_cat,sex_cat,native-country_cat,salary_label
48,41,sl-gov,101603,Assoc-voc,11,married,Craft-repair,Husband,White,Male,0,0,40,north_america,<=50K,4,0,0,2,3,8,0,2,0,4,1,2,0
49,29,private,271466,Assoc-voc,11,never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,north_america,<=50K,2,0,0,3,1,8,1,9,1,4,1,2,0
50,25,private,32275,Some-college,10,married,Exec-managerial,Wife,Other,Female,0,0,40,north_america,<=50K,2,0,0,2,1,15,0,3,5,3,0,2,0
52,47,private,51835,Prof-school,15,married,Prof-specialty,Wife,White,Female,0,1902,60,north_america,>50K,5,0,2,4,1,14,0,9,5,4,0,2,1
53,50,federal-gov,251585,Bachelors,13,not-married,Exec-managerial,Not-in-family,White,Male,0,0,55,north_america,>50K,5,0,0,3,0,9,2,3,1,4,1,2,1
54,47,self-employed,109832,HS-grad,9,not-married,Exec-managerial,Not-in-family,White,Male,0,0,60,north_america,<=50K,5,0,0,4,2,11,2,3,1,4,1,2,0
55,43,private,237993,Some-college,10,married,Tech-support,Husband,White,Male,0,0,40,north_america,>50K,4,0,0,2,1,15,0,12,0,4,1,2,1
56,46,private,216666,5th-6th,3,married,Machine-op-inspct,Husband,White,Male,0,0,40,north_america,<=50K,4,0,0,2,1,4,0,6,0,4,1,2,0
57,35,private,56352,Assoc-voc,11,married,Other-service,Husband,White,Male,0,0,40,north_america,<=50K,3,0,0,2,1,8,0,7,0,4,1,2,0
58,41,private,147372,HS-grad,9,married,Adm-clerical,Husband,White,Male,0,0,48,north_america,<=50K,4,0,0,3,1,11,0,0,0,4,1,2,0
59,30,private,188146,HS-grad,9,married,Machine-op-inspct,Husband,White,Male,5013,0,40,north_america,<=50K,2,1,0,2,1,11,0,6,0,4,1,2,0
60,30,private,59496,Bachelors,13,married,Sales,Husband,White,Male,2407,0,40,north_america,<=50K,2,1,0,2,1,9,0,11,0,4,1,2,0
62,48,private,149640,HS-grad,9,married,Transport-moving,Husband,White,Male,0,0,40,north_america,<=50K,5,0,0,2,1,11,0,13,0,4,1,2,0
63,42,private,116632,Doctorate,16,married,Prof-specialty,Husband,White,Male,0,0,45,north_america,>50K,4,0,0,3,1,10,0,9,0,4,1,2,1
64,29,private,105598,Some-college,10,not-married,Tech-support,Not-in-family,White,Male,0,0,58,north_america,<=50K,2,0,0,3,1,15,2,12,1,4,1,2,0
65,36,private,155537,HS-grad,9,married,Craft-repair,Husband,White,Male,0,0,40,north_america,<=50K,3,0,0,2,1,11,0,2,0,4,1,2,0
66,28,private,183175,Some-college,10,not-married,Adm-clerical,Not-in-family,White,Female,0,0,40,north_america,<=50K,2,0,0,2,1,15,2,0,1,4,0,2,0
67,53,private,169846,HS-grad,9,married,Adm-clerical,Wife,White,Female,0,0,40,north_america,>50K,5,0,0,2,1,11,0,0,5,4,0,2,1
68,49,self-employed,191681,Some-college,10,married,Exec-managerial,Husband,White,Male,0,0,50,north_america,>50K,5,0,0,3,2,15,0,3,0,4,1,2,1
70,19,private,101509,Some-college,10,never-married,Prof-specialty,Own-child,White,Male,0,0,32,north_america,<=50K,1,0,0,2,1,15,1,9,3,4,1,2,0
71,31,private,309974,Bachelors,13,not-married,Sales,Own-child,Black,Female,0,0,40,north_america,<=50K,2,0,0,2,1,9,2,11,3,2,0,2,0
72,29,self-employed,162298,Bachelors,13,married,Sales,Husband,White,Male,0,0,70,north_america,>50K,2,0,0,4,2,9,0,11,0,4,1,2,1
73,23,private,211678,Some-college,10,never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,north_america,<=50K,1,0,0,2,1,15,1,6,1,4,1,2,0
74,79,private,124744,Some-college,10,married,Prof-specialty,Other-relative,White,Male,0,0,20,north_america,<=50K,9,0,0,1,1,15,0,9,2,4,1,2,0
75,27,private,213921,HS-grad,9,never-married,Other-service,Own-child,White,Male,0,0,40,north_america,<=50K,2,0,0,2,1,11,1,7,3,4,1,2,0
76,40,private,32214,Assoc-acdm,12,married,Adm-clerical,Husband,White,Male,0,0,40,north_america,<=50K,4,0,0,2,1,7,0,0,0,4,1,2,0
78,18,private,309634,11th,7,never-married,Other-service,Own-child,White,Female,0,0,22,north_america,<=50K,1,0,0,2,1,1,1,7,3,4,0,2,0
79,31,sl-gov,125927,7th-8th,4,married,Farming-fishing,Husband,White,Male,0,0,40,north_america,<=50K,2,0,0,2,3,5,0,4,0,4,1,2,0
80,18,private,446839,HS-grad,9,never-married,Sales,Not-in-family,White,Male,0,0,30,north_america,<=50K,1,0,0,2,1,11,1,11,1,4,1,2,0
81,52,private,276515,Bachelors,13,married,Other-service,Husband,White,Male,0,0,40,north_america,<=50K,5,0,0,2,1,9,0,7,0,4,1,2,0
82,46,private,51618,HS-grad,9,married,Other-service,Wife,White,Female,0,0,40,north_america,<=50K,4,0,0,2,1,11,0,7,5,4,0,2,0
83,59,private,159937,HS-grad,9,married,Sales,Husband,White,Male,0,0,48,north_america,<=50K,6,0,0,3,1,11,0,11,0,4,1,2,0
84,44,private,343591,HS-grad,9,not-married,Craft-repair,Not-in-family,White,Female,14344,0,40,north_america,>50K,4,1,0,2,1,11,2,2,1,4,0,2,1
85,53,private,346253,HS-grad,9,not-married,Sales,Own-child,White,Female,0,0,35,north_america,<=50K,5,0,0,2,1,11,2,11,3,4,0,2,0
86,49,sl-gov,268234,HS-grad,9,married,Protective-serv,Husband,White,Male,0,0,40,north_america,>50K,5,0,0,2,3,11,0,10,0,4,1,2,1
87,33,private,202051,Masters,14,married,Prof-specialty,Husband,White,Male,0,0,50,north_america,<=50K,3,0,0,3,1,12,0,9,0,4,1,2,0
88,30,private,54334,9th,5,never-married,Sales,Not-in-family,White,Male,0,0,40,north_america,<=50K,2,0,0,2,1,6,1,11,1,4,1,2,0
89,43,federal-gov,410867,Doctorate,16,never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,north_america,>50K,4,0,0,3,0,10,1,9,1,4,0,2,1
90,57,private,249977,Assoc-voc,11,married,Prof-specialty,Husband,White,Male,0,0,40,north_america,<=50K,6,0,0,2,1,8,0,9,0,4,1,2,0
91,37,private,286730,Some-college,10,not-married,Craft-repair,Unmarried,White,Female,0,0,40,north_america,<=50K,3,0,0,2,1,15,2,2,4,4,0,2,0
92,28,private,212563,Some-college,10,not-married,Machine-op-inspct,Unmarried,Black,Female,0,0,25,north_america,<=50K,2,0,0,2,1,15,2,6,4,2,0,2,0
94,34,sl-gov,226296,Bachelors,13,married,Protective-serv,Husband,White,Male,0,0,40,north_america,>50K,3,0,0,2,3,9,0,10,0,4,1,2,1
95,29,sl-gov,115585,Some-college,10,never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,north_america,<=50K,2,0,0,3,3,15,1,5,1,4,1,2,0
96,48,self-employed,191277,Doctorate,16,married,Prof-specialty,Husband,White,Male,0,1902,60,north_america,>50K,5,0,2,4,2,10,0,9,0,4,1,2,1
97,37,private,202683,Some-college,10,married,Sales,Husband,White,Male,0,0,48,north_america,>50K,3,0,0,3,1,15,0,11,0,4,1,2,1
98,48,private,171095,Assoc-acdm,12,not-married,Exec-managerial,Unmarried,White,Female,0,0,40,europe,<=50K,5,0,0,2,1,7,2,3,4,4,0,1,0
99,32,federal-gov,249409,HS-grad,9,never-married,Other-service,Own-child,Black,Male,0,0,40,north_america,<=50K,3,0,0,2,0,11,1,7,3,2,1,2,0
100,76,private,124191,Masters,14,married,Exec-managerial,Husband,White,Male,0,0,40,north_america,>50K,9,0,0,2,1,12,0,3,0,4,1,2,1
101,44,private,198282,Bachelors,13,married,Exec-managerial,Husband,White,Male,15024,0,60,north_america,>50K,4,1,0,4,1,9,0,3,0,4,1,2,1
102,47,self-employed,149116,Masters,14,never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,north_america,<=50K,5,0,0,3,2,12,1,9,1,4,0,2,0
103,20,private,188300,Some-college,10,never-married,Tech-support,Own-child,White,Female,0,0,40,north_america,<=50K,1,0,0,2,1,15,1,12,3,4,0,2,0
104,29,private,103432,HS-grad,9,never-married,Craft-repair,Not-in-family,White,Male,0,0,40,north_america,<=50K,2,0,0,2,1,11,1,2,1,4,1,2,0
105,32,self-employed,317660,HS-grad,9,married,Craft-repair,Husband,White,Male,7688,0,40,north_america,>50K,3,1,0,2,2,11,0,2,0,4,1,2,1
107,30,private,194901,11th,7,never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,north_america,<=50K,2,0,0,2,1,1,1,5,3,4,1,2,0
108,31,sl-gov,189265,HS-grad,9,never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,north_america,<=50K,2,0,0,2,3,11,1,0,1,4,0,2,0
109,42,private,124692,HS-grad,9,married,Handlers-cleaners,Husband,White,Male,0,0,40,north_america,<=50K,4,0,0,2,1,11,0,5,0,4,1,2,0
110,24,private,432376,Bachelors,13,never-married,Sales,Other-relative,White,Male,0,0,40,north_america,<=50K,1,0,0,2,1,9,1,11,2,4,1,2,0
111,38,private,65324,Prof-school,15,married,Prof-specialty,Husband,White,Male,0,0,40,north_america,>50K,3,0,0,2,1,14,0,9,0,4,1,2,1
112,56,self-employed,335605,HS-grad,9,married,Other-service,Husband,White,Male,0,1887,50,north_america,>50K,6,0,2,3,2,11,0,7,0,4,1,2,1
113,28,private,377869,Some-college,10,married,Sales,Wife,White,Female,4064,0,25,north_america,<=50K,2,1,0,2,1,15,0,11,5,4,0,2,0
114,36,private,102864,HS-grad,9,never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,north_america,<=50K,3,0,0,2,1,11,1,6,3,4,0,2,0
115,53,private,95647,9th,5,married,Handlers-cleaners,Husband,White,Male,0,0,50,north_america,<=50K,5,0,0,3,1,6,0,5,0,4,1,2,0
116,56,self-employed,303090,Some-college,10,married,Sales,Husband,White,Male,0,0,50,north_america,<=50K,6,0,0,3,2,15,0,11,0,4,1,2,0
117,49,sl-gov,197371,Assoc-voc,11,married,Craft-repair,Husband,Black,Male,0,0,40,north_america,>50K,5,0,0,2,3,8,0,2,0,2,1,2,1
118,55,private,247552,Some-college,10,married,Sales,Husband,White,Male,0,0,56,north_america,<=50K,6,0,0,3,1,15,0,11,0,4,1,2,0
119,22,private,102632,HS-grad,9,never-married,Craft-repair,Not-in-family,White,Male,0,0,41,north_america,<=50K,1,0,0,3,1,11,1,2,1,4,1,2,0
120,21,private,199915,Some-college,10,never-married,Other-service,Own-child,White,Female,0,0,40,north_america,<=50K,1,0,0,2,1,15,1,7,3,4,0,2,0
121,40,private,118853,Bachelors,13,married,Exec-managerial,Husband,White,Male,0,0,60,north_america,<=50K,4,0,0,4,1,9,0,3,0,4,1,2,0
122,30,private,77143,Bachelors,13,never-married,Exec-managerial,Own-child,Black,Male,0,0,40,europe,<=50K,2,0,0,2,1,9,1,3,3,2,1,1,0
123,29,sl-gov,267989,Bachelors,13,married,Prof-specialty,Husband,White,Male,0,0,50,north_america,>50K,2,0,0,3,3,9,0,9,0,4,1,2,1
124,19,private,301606,Some-college,10,never-married,Other-service,Own-child,Black,Male,0,0,35,north_america,<=50K,1,0,0,2,1,15,1,7,3,2,1,2,0
125,47,private,287828,Bachelors,13,married,Exec-managerial,Wife,White,Female,0,0,40,north_america,>50K,5,0,0,2,1,9,0,3,5,4,0,2,1
126,20,private,111697,Some-college,10,never-married,Adm-clerical,Own-child,White,Female,0,1719,28,north_america,<=50K,1,0,2,2,1,15,1,0,3,4,0,2,0
127,31,private,114937,Assoc-acdm,12,married,Adm-clerical,Husband,White,Male,0,0,40,north_america,>50K,2,0,0,2,1,7,0,0,0,4,1,2,1
129,39,private,365739,Some-college,10,not-married,Craft-repair,Not-in-family,White,Male,0,0,40,north_america,<=50K,4,0,0,2,1,15,2,2,1,4,1,2,0
130,28,private,69621,Assoc-acdm,12,never-married,Sales,Not-in-family,White,Female,0,0,60,north_america,<=50K,2,0,0,4,1,7,1,11,1,4,0,2,0
131,24,private,43323,HS-grad,9,never-married,Other-service,Not-in-family,White,Female,0,1762,40,north_america,<=50K,1,0,2,2,1,11,1,7,1,4,0,2,0
132,38,self-employed,120985,HS-grad,9,married,Craft-repair,Husband,White,Male,4386,0,35,north_america,<=50K,3,1,0,2,2,11,0,2,0,4,1,2,0
133,37,private,254202,Bachelors,13,married,Sales,Husband,White,Male,0,0,50,north_america,<=50K,3,0,0,3,1,9,0,11,0,4,1,2,0
134,46,private,146195,Assoc-acdm,12,not-married,Tech-support,Not-in-family,Black,Female,0,0,36,north_america,<=50K,4,0,0,2,1,7,2,12,1,2,0,2,0
135,38,federal-gov,125933,Masters,14,married,Prof-specialty,Husband,White,Male,0,0,40,asia,>50K,3,0,0,2,0,12,0,9,0,4,1,0,1
136,43,self-employed,56920,HS-grad,9,married,Craft-repair,Husband,White,Male,0,0,60,north_america,<=50K,4,0,0,4,2,11,0,2,0,4,1,2,0
137,27,private,163127,Assoc-voc,11,married,Adm-clerical,Wife,White,Female,0,0,35,north_america,<=50K,2,0,0,2,1,8,0,0,5,4,0,2,0
138,20,private,34310,Some-college,10,never-married,Sales,Own-child,White,Male,0,0,20,north_america,<=50K,1,0,0,1,1,15,1,11,3,4,1,2,0
139,49,private,81973,Some-college,10,married,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,north_america,>50K,5,0,0,2,1,15,0,2,0,1,1,2,1
140,61,self-employed,66614,HS-grad,9,married,Craft-repair,Husband,White,Male,0,0,40,north_america,<=50K,7,0,0,2,2,11,0,2,0,4,1,2,0
141,27,private,232782,Some-college,10,never-married,Sales,Own-child,White,Female,0,0,40,north_america,<=50K,2,0,0,2,1,15,1,11,3,4,0,2,0
142,19,private,316868,Some-college,10,never-married,Other-service,Own-child,White,Male,0,0,30,north_america,<=50K,1,0,0,2,1,15,1,7,3,4,1,2,0
143,45,private,196584,Assoc-voc,11,never-married,Prof-specialty,Not-in-family,White,Female,0,1564,40,north_america,>50K,4,0,2,2,1,8,1,9,1,4,0,2,1
144,70,private,105376,Some-college,10,never-married,Tech-support,Other-relative,White,Male,0,0,40,north_america,<=50K,8,0,0,2,1,15,1,12,2,4,1,2,0
145,31,private,185814,HS-grad,9,never-married,Transport-moving,Unmarried,Black,Female,0,0,30,north_america,<=50K,2,0,0,2,1,11,1,13,4,2,0,2,0
146,22,private,175374,Some-college,10,married,Other-service,Husband,White,Male,0,0,24,north_america,<=50K,1,0,0,2,1,15,0,7,0,4,1,2,0
147,36,private,108293,HS-grad,9,not-married,Other-service,Unmarried,White,Female,0,0,24,north_america,<=50K,3,0,0,2,1,11,2,7,4,4,0,2,0
148,64,private,181232,11th,7,married,Craft-repair,Husband,White,Male,0,2179,40,north_america,<=50K,7,0,2,2,1,1,0,2,0,4,1,2,0
150,47,sl-gov,186009,Some-college,10,not-married,Adm-clerical,Unmarried,White,Female,0,0,38,north_america,<=50K,5,0,0,2,3,15,2,0,4,4,0,2,0
151,34,private,198183,HS-grad,9,never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,north_america,<=50K,3,0,0,2,1,11,1,0,1,4,0,2,0
152,33,private,163003,Bachelors,13,never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40,asia,<=50K,3,0,0,2,1,9,1,3,2,1,0,0,0
153,21,private,296158,HS-grad,9,never-married,Craft-repair,Own-child,White,Male,0,0,35,north_america,<=50K,1,0,0,2,1,11,1,2,3,4,1,2,0
155,48,private,187715,HS-grad,9,married,Craft-repair,Husband,White,Male,0,0,46,north_america,<=50K,5,0,0,3,1,11,0,2,0,4,1,2,0
156,23,private,214542,Bachelors,13,never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,north_america,<=50K,1,0,0,2,1,9,1,5,1,4,1,2,0
157,71,self-employed,494223,Some-college,10,not-married,Sales,Unmarried,Black,Male,0,1816,2,north_america,<=50K,8,0,2,1,2,15,2,11,4,2,1,2,0
158,29,private,191535,HS-grad,9,not-married,Craft-repair,Not-in-family,White,Male,0,0,60,north_america,<=50K,2,0,0,4,1,11,2,2,1,4,1,2,0
159,42,private,228456,Bachelors,13,not-married,Other-service,Other-relative,Black,Male,0,0,50,north_america,<=50K,4,0,0,3,1,9,2,7,2,2,1,2,0
161,25,private,252752,HS-grad,9,never-married,Other-service,Unmarried,White,Female,0,0,40,north_america,<=50K,2,0,0,2,1,11,1,7,4,4,0,2,0
162,44,self-employed,78374,Masters,14,not-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,north_america,<=50K,4,0,0,2,2,12,2,3,4,1,0,2,0
163,28,private,88419,HS-grad,9,never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,europe,<=50K,2,0,0,2,1,11,1,3,1,1,0,1,0
164,45,self-employed,201080,Masters,14,married,Sales,Husband,White,Male,0,0,40,north_america,>50K,4,0,0,2,2,12,0,11,0,4,1,2,1
165,36,private,207157,Some-college,10,not-married,Other-service,Unmarried,White,Female,0,0,40,north_america,<=50K,3,0,0,2,1,15,2,7,4,4,0,2,0
166,39,federal-gov,235485,Assoc-acdm,12,never-married,Exec-managerial,Not-in-family,White,Male,0,0,42,north_america,<=50K,4,0,0,3,0,7,1,3,1,4,1,2,0
167,46,sl-gov,102628,Masters,14,not-married,Protective-serv,Unmarried,White,Male,0,0,40,north_america,<=50K,4,0,0,2,3,12,2,10,4,4,1,2,0
168,18,private,25828,11th,7,never-married,Handlers-cleaners,Own-child,White,Male,0,0,16,north_america,<=50K,1,0,0,1,1,1,1,5,3,4,1,2,0
169,66,sl-gov,54826,Assoc-voc,11,not-married,Prof-specialty,Not-in-family,White,Female,0,0,20,north_america,<=50K,7,0,0,1,3,8,2,9,1,4,0,2,0
170,27,private,124953,HS-grad,9,never-married,Other-service,Not-in-family,White,Male,0,1980,40,north_america,<=50K,2,0,2,2,1,11,1,7,1,4,1,2,0
171,28,sl-gov,175325,HS-grad,9,married,Protective-serv,Husband,White,Male,0,0,40,north_america,<=50K,2,0,0,2,3,11,0,10,0,4,1,2,0
172,51,private,96062,Some-college,10,married,Sales,Husband,White,Male,0,1977,40,north_america,>50K,5,0,2,2,1,15,0,11,0,4,1,2,1
173,27,private,428030,Bachelors,13,never-married,Craft-repair,Not-in-family,White,Male,0,0,50,north_america,<=50K,2,0,0,3,1,9,1,2,1,4,1,2,0
174,28,sl-gov,149624,Bachelors,13,married,Prof-specialty,Husband,White,Male,0,0,40,north_america,>50K,2,0,0,2,3,9,0,9,0,4,1,2,1
175,27,private,253814,HS-grad,9,married,Sales,Unmarried,White,Female,0,0,25,north_america,<=50K,2,0,0,2,1,11,0,11,4,4,0,2,0
176,21,private,312956,HS-grad,9,never-married,Craft-repair,Own-child,Black,Male,0,0,40,north_america,<=50K,1,0,0,2,1,11,1,2,3,2,1,2,0
177,34,private,483777,HS-grad,9,never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,north_america,<=50K,3,0,0,2,1,11,1,5,1,2,1,2,0
178,18,private,183930,HS-grad,9,never-married,Other-service,Own-child,White,Male,0,0,12,north_america,<=50K,1,0,0,1,1,11,1,7,3,4,1,2,0
179,33,private,37274,Bachelors,13,married,Prof-specialty,Husband,White,Male,0,0,65,north_america,<=50K,3,0,0,4,1,9,0,9,0,4,1,2,0
180,44,sl-gov,181344,Some-college,10,married,Exec-managerial,Husband,Black,Male,0,0,38,north_america,>50K,4,0,0,2,3,15,0,3,0,2,1,2,1
181,43,private,114580,Some-college,10,not-married,Adm-clerical,Not-in-family,White,Female,0,0,40,north_america,<=50K,4,0,0,2,1,15,2,0,1,4,0,2,0
182,30,private,633742,Some-college,10,never-married,Craft-repair,Not-in-family,Black,Male,0,0,45,north_america,<=50K,2,0,0,3,1,15,1,2,1,2,1,2,0
183,40,private,286370,7th-8th,4,married,Machine-op-inspct,Husband,White,Male,0,0,40,north_america,>50K,4,0,0,2,1,5,0,6,0,4,1,2,1
184,37,federal-gov,29054,Some-college,10,married,Adm-clerical,Husband,White,Male,0,0,42,north_america,>50K,3,0,0,3,0,15,0,0,0,4,1,2,1
